Name,ID,Weight
Isaiah Rider,375,9
Ariel Maughan,77485,5
Sonny Weems,201603,4
Dell Demps,725,3
Mike Bibby,1710,14
Jim Thomas,78320,4
Perry Young,78635,1
Jacob Wiley,1628451,1
Dereon Seabron,1631220,2
Dan Gadzuric,2429,10
Richard Rellford,77939,1
Gary Garland,76781,1
Brian Quinnett,77893,3
Kaniel Dickens,2079,3
DaQuan Jeffries,1629610,4
Derrick Zimmerman,2583,1
George Dempsey,76555,5
Juancho Hernangomez,1627823,7
Beno Udrih,2757,13
Jim Barnes,76105,7
Marcus Derrickson,1629094,1
Mitch McGary,203956,2
Rich Laurel,77344,1
John Gianelli,76806,8
J.R. Giddens,201592,2
Gigi Datome,203540,2
Keyontae Johnson,1641749,1
Wil Jones,77201,2
Terrance Ferguson,1628390,4
Draymond Green,203110,12
Arvydas Macijauskas,101178,1
Lazar Hayward,202351,3
Richard Coffey,76410,1
Terence Morris,2242,3
Nolan Smith,202701,2
Cedi Osman,1626224,7
Jerome Anderson,76040,2
Metta World Peace,1897,17
Rod Hundley,77082,6
Armen Gilliam,288,13
Rafer Alston,1747,11
Andre Turner,78377,6
Dean Meminger,77578,6
Jack White,1631298,1
T.J. McConnell,204456,9
Dick Farley,76693,3
Precious Achiuwa,1630173,4
Bayard Forrest,76739,2
Gabriel Deck,1630466,2
Darius Bazley,1629647,4
Phil Chenier,76386,10
Art Spoelstra,78232,4
Dick Van Arsdale,78398,12
Jayson Tatum,1628369,7
Courtney Lee,201584,12
Mike Gibson,76810,2
Chauncey Billups,1497,17
Jose Calderon,101181,14
Hal Lear,77352,1
Adreian Payne,203940,4
Thomas Barr,76113,1
Robert Swift,2741,4
Nate Thurmond,600001,14
Paul Zipser,1627835,2
Darren Daye,76543,5
Paul Arizin,76056,10
Will Cherry,203805,1
Loren Woods,2254,6
Trey Thompkins,202717,1
Zylan Cheatham,1629597,2
Bill Closs,76406,3
Theron Smith,2604,2
Quincy Pondexter,202347,7
Isaiah Morris,77647,1
Walker Russell,78048,6
Jeffery Taylor,203106,3
Stevin Smith,1478,1
Jarrett Allen,1628386,7
Edwin Kachan,77217,1
Jay Vincent,78418,9
Killian Hayes,1630165,4
Greg Brown III,1630535,2
Jarrell Brantley,1629714,3
Bill Robinzine,77997,7
Earl Evans,76685,1
David Robinson,764,14
Monte Towe,78361,1
Jahidi White,1751,7
Keith Langford,101247,1
Tom Ingelsby,77094,1
Edmond Sumner,1628410,5
Ken Menke,77581,1
Johnny Newman,271,16
Mark Jones,2891,1
Marv Roberts,77978,1
Nic Claxton,1629651,5
Joel Przybilla,2038,13
Garret Siler,202081,1
Greg Stiemsma,201880,4
Alexander Johnson,200792,2
Bob Davies,76514,7
Randy White,1839,5
Walt Bellamy,76144,14
Nik Stauskas,203917,6
Doug Christie,57,15
Tom Kozelko,77305,3
Pat Durham,1090,2
Stewart Granger,76847,3
Amen Thompson,1641708,1
Tim Hardaway Jr.,203501,11
Brandon Williams,1585,3
Ben Kelso,77240,1
CJ Miles,101139,16
Dave Minor,77610,2
Richie Guerin,76902,13
Ken Corley,76451,1
Shareef Abdur-Rahim,949,12
Shane Battier,2203,13
Alaa Abdelnaby,76001,5
Cuonzo Martin,733,2
Nigel Hayes,1628502,1
Tharon Mayes,77493,1
Brent Barry,699,14
Christian Laettner,363,13
Neil Johnston,77169,8
Donta Hall,1629743,2
